Year,Film,Nominee,Source,Category,Won,Concordance
2022,Moonage Daydream,Brett Morgen,,Documentary Screenplay,TRUE,
2022,¡Viva Maestro!,Theodore Braun,,Documentary Screenplay,FALSE,
2021,CODA,Siân Heder,"The film La Famille Belier by Victoria Bedos, Thomas Bidegain, Stanislas Carree de Malberg, and Eric Lartigau",Adapted Screenplay,TRUE,Screenplay (Adapted)
2021,Dune,Eric Roth,The novel by Frank Herbert,Adapted Screenplay,FALSE,Screenplay (Adapted)
2021,Dune,Jon Spaihts,The novel by Frank Herbert,Adapted Screenplay,FALSE,Screenplay (Adapted)
2021,Dune,Denis Villeneuve,The novel by Frank Herbert,Adapted Screenplay,FALSE,Screenplay (Adapted)
2021,Nightmare Alley,Guillermo del Toro,The novel by William Lindsay Gresham,Adapted Screenplay,FALSE,Screenplay (Adapted)
2021,Nightmare Alley,Kim Morgan,The novel by William Lindsay Gresham,Adapted Screenplay,FALSE,Screenplay (Adapted)
2021,tick…tick…BOOM!,Steven Levenson,The play by Jonathan Larson,Adapted Screenplay,FALSE,Screenplay (Adapted)
2021,West Side Story,Tony Kushner,"The stage play, by Leonard Bernstein, Arthur Laurents, Jerome Robbins, and Stephen Sondheim",Adapted Screenplay,FALSE,Screenplay (Adapted)
2021,Being the Ricardos,Aaron Sorkin,,Original Screenplay,FALSE,Screenplay (Original)
2021,Don't Look Up,David Sirota,,Original Screenplay,TRUE,Screenplay (Original)
2021,The French Dispatch,Wes Anderson,,Original Screenplay,FALSE,Screenplay (Original)
2021,The French Dispatch,Roman Coppola,,Original Screenplay,FALSE,Screenplay (Original)
2021,The French Dispatch,Hugo Guinness,,Original Screenplay,FALSE,Screenplay (Original)
2021,The French Dispatch,Jason Schwartzman,,Original Screenplay,FALSE,Screenplay (Original)
2021,King Richard,Zach Baylin,,Original Screenplay,FALSE,Screenplay (Original)
2021,Licorice Pizza,Paul Thomas Anderson,,Original Screenplay,FALSE,Screenplay (Original)
2021,Don't Look Up,Adam McKay,,Original Screenplay,TRUE,Screenplay (Original)
2021,Becoming Cousteau,Mark Monroe,,Documentary Screenplay,FALSE,
2021,Becoming Cousteau,Pax Wasserman,,Documentary Screenplay,FALSE,
2021,Exposing Muybridge,Marc Shaffer,,Documentary Screenplay,TRUE,
2021,Like a Rolling Stone: The Life & Times of Ben Fong-Torres,Alex Gibney,,Documentary Screenplay,FALSE,
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Sacha Baron Cohen,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Anthony Hines,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Dan Swimer,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
2020,Borat Subsequent Moviefilm: Delivery of Prodigious Bride to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Peter Baynham,The characters created by Sacha Baron Cohen,Adapted Screenplay,TRUE,Screenplay (Adapted)
